type,first,second,,,,
temporal,The family spent, in London,,,,
temporal,The diplomat worked, in Nairobi,,,,
temporal,The tourish stayed, in Papua New Guinea,,,,
objects,She bought,,,,,
objects,They discovered,,,,,
objects,Someone saw,,,,,
human,We served dinner to,,,,,
human,, greeted us at the door,,,,
human,We congratulated,,,,,
art,The newspaper reviewed,,,,,
art,I experienced,,,,,
art,Please enjoy,,,,,
distance,He drove,,,,,
distance,Somone walked,,,,,
distance,Someone traveled,,,,,
unitlike,Luis took in,,,,,
unitlike,They consumed,,,,,
unitlike,It lasted,,,,,
