,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,sent_default,sent_no_plural,sent_no_mod,sent_default_nomod,sent_no_a,sent_reverse_mods,rating-sent,goodness-sent,rating-sent_default,goodness-sent_default,rating-sent_no_plural,goodness-sent_no_plural,rating-sent_no_mod,goodness-sent_no_mod,rating-sent_default_nomod,goodness-sent_default_nomod,rating-sent_no_a,goodness-sent_no_a,rating-sent_reverse_mods,goodness-sent_reverse_mods
0,spentLondon,0,astonishing,three,days,adj-ambig,num-low,noun-measure,The family spent an astonishing three days in London.,The family spent three astonishing days in London.,The family spent an astonishing three day in London.,The family spent a three days in London.,The family spent three days in London.,The family spent astonishing three days in London.,The family spent a three astonishing days in London., good,0.9992560039524108, good,0.9996092786114905, bad,0.03980625771314661, bad,0.10142652057805324, good,0.997835023549521, good,0.8941777482728402, good,0.9867992700908899
1,spentLondon,0,astonishing,three,weeks,adj-ambig,num-low,noun-measure,The family spent an astonishing three weeks in London.,The family spent three astonishing weeks in London.,The family spent an astonishing three week in London.,The family spent a three weeks in London.,The family spent three weeks in London.,The family spent astonishing three weeks in London.,The family spent a three astonishing weeks in London., good,0.9991097334526207, good,0.9995708369168324, good,0.5010016722893244, bad,0.357335394696371, good,0.9977692798624721, good,0.899959703994164, good,0.9915450012623034
2,spentLondon,0,astonishing,three,months,adj-ambig,num-low,noun-measure,The family spent an astonishing three months in London.,The family spent three astonishing months in London.,The family spent an astonishing three month in London.,The family spent a three months in London.,The family spent three months in London.,The family spent astonishing three months in London.,The family spent a three astonishing months in London., good,0.9992010479922541, good,0.9995999802292515, good,0.8968728062770622, bad,0.45925359373200336, good,0.9980171161169044, good,0.8940870868223083, good,0.9920963394814557
3,spentLondon,0,astonishing,three,years,adj-ambig,num-low,noun-measure,The family spent an astonishing three years in London.,The family spent three astonishing years in London.,The family spent an astonishing three year in London.,The family spent a three years in London.,The family spent three years in London.,The family spent astonishing three years in London.,The family spent a three astonishing years in London., good,0.9991641507167879, good,0.9995328048296672, bad,0.24027184463696916, bad,0.005580348686191949, good,0.9980053744148027, good,0.8709248290888787, good,0.9523500292348298
4,spentLondon,0,astonishing,three,hours,adj-ambig,num-low,noun-measure,The family spent an astonishing three hours in London.,The family spent three astonishing hours in London.,The family spent an astonishing three hour in London.,The family spent a three hours in London.,The family spent three hours in London.,The family spent astonishing three hours in London.,The family spent a three astonishing hours in London., good,0.9991655236691908, good,0.9994386324257701, bad,0.049650340999498055, bad,0.06347551854174405, good,0.9953003145448274, good,0.653418870343715, good,0.926323886548709
5,spentLondon,0,astonishing,five,days,adj-ambig,num-low,noun-measure,The family spent an astonishing five days in London.,The family spent five astonishing days in London.,The family spent an astonishing five day in London.,The family spent a five days in London.,The family spent five days in London.,The family spent astonishing five days in London.,The family spent a five astonishing days in London., good,0.9996344314864584, good,0.9997843984253607, bad,0.0452776893758734, bad,0.01922437473468941, good,0.9987647999883064, good,0.961674122216472, good,0.9974468149354938
6,spentLondon,0,astonishing,five,weeks,adj-ambig,num-low,noun-measure,The family spent an astonishing five weeks in London.,The family spent five astonishing weeks in London.,The family spent an astonishing five week in London.,The family spent a five weeks in London.,The family spent five weeks in London.,The family spent astonishing five weeks in London.,The family spent a five astonishing weeks in London., good,0.9995761980994062, good,0.9997393980125985, bad,0.04549649524487409, bad,0.053307000018489537, good,0.9983571618383974, good,0.9626790058581416, good,0.9967421648986751
7,spentLondon,0,astonishing,five,months,adj-ambig,num-low,noun-measure,The family spent an astonishing five months in London.,The family spent five astonishing months in London.,The family spent an astonishing five month in London.,The family spent a five months in London.,The family spent five months in London.,The family spent astonishing five months in London.,The family spent a five astonishing months in London., good,0.9995952119487985, good,0.9997731905851452, good,0.6118387815580468, bad,0.15944505796916675, good,0.9986044024532706, good,0.9540080179589869, good,0.997278251292591
8,spentLondon,0,astonishing,five,years,adj-ambig,num-low,noun-measure,The family spent an astonishing five years in London.,The family spent five astonishing years in London.,The family spent an astonishing five year in London.,The family spent a five years in London.,The family spent five years in London.,The family spent astonishing five years in London.,The family spent a five astonishing years in London., good,0.9996095169083749, good,0.9997476231823883, bad,0.3393604182878116, bad,0.0050625593313227135, good,0.998617099788971, good,0.9490950854264691, good,0.9931989475543158
9,spentLondon,0,astonishing,five,hours,adj-ambig,num-low,noun-measure,The family spent an astonishing five hours in London.,The family spent five astonishing hours in London.,The family spent an astonishing five hour in London.,The family spent a five hours in London.,The family spent five hours in London.,The family spent astonishing five hours in London.,The family spent a five astonishing hours in London., good,0.9995547404574651, good,0.9997016062882618, bad,0.06292613642996503, bad,0.030977783393781544, good,0.9969041111777002, good,0.8426915445623872, good,0.9870516970073665
