,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,rating-sent,goodness-sent
0,distance,2,whopping,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a whopping twenty feet., good,0.9953278549850825
1,distance,2,whopping,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a whopping twenty yards., good,0.9972838568099396
2,distance,2,whopping,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a whopping twenty blocks., good,0.9963915072149271
3,distance,2,whopping,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a whopping twenty steps., good,0.9953819152968039
4,distance,2,hefty,three,meters,adj-quant,num-num,noun-distance,Someone traveled a hefty three meters., good,0.9924327320398247
5,distance,2,hefty,three,feet,adj-quant,num-num,noun-distance,Someone traveled a hefty three feet., good,0.9913237488023519
6,distance,2,hefty,three,yards,adj-quant,num-num,noun-distance,Someone traveled a hefty three yards., good,0.9954734697587595
7,distance,2,hefty,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a hefty three blocks., good,0.9962154345878171
8,distance,2,hefty,three,steps,adj-quant,num-num,noun-distance,Someone traveled a hefty three steps., good,0.9952793942487915
9,distance,2,hefty,five,meters,adj-quant,num-num,noun-distance,Someone traveled a hefty five meters., good,0.9954810403632842
10,distance,2,hefty,five,feet,adj-quant,num-num,noun-distance,Someone traveled a hefty five feet., good,0.9938895886619883
11,distance,2,hefty,five,yards,adj-quant,num-num,noun-distance,Someone traveled a hefty five yards., good,0.9968708519209676
12,distance,2,hefty,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a hefty five blocks., good,0.9970957407442794
13,distance,2,hefty,five,steps,adj-quant,num-num,noun-distance,Someone traveled a hefty five steps., good,0.9969391001352903
14,distance,2,hefty,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a hefty twenty meters., good,0.9964266735805918
15,distance,2,hefty,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a hefty twenty feet., good,0.9975104738230608
16,distance,2,hefty,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a hefty twenty yards., good,0.9983835661387604
17,distance,2,hefty,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a hefty twenty blocks., good,0.9977292849827166
18,distance,2,hefty,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a hefty twenty steps., good,0.9979602536158232
19,distance,2,paltry,three,meters,adj-quant,num-num,noun-distance,Someone traveled a paltry three meters., good,0.9866687340632114
20,distance,2,paltry,three,feet,adj-quant,num-num,noun-distance,Someone traveled a paltry three feet., good,0.9822888699177358
21,distance,2,paltry,three,yards,adj-quant,num-num,noun-distance,Someone traveled a paltry three yards., good,0.9922166076968805
22,distance,2,paltry,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a paltry three blocks., good,0.9924244492308074
23,distance,2,paltry,three,steps,adj-quant,num-num,noun-distance,Someone traveled a paltry three steps., good,0.9926132170818796
24,distance,2,paltry,five,meters,adj-quant,num-num,noun-distance,Someone traveled a paltry five meters., good,0.9901380936953177
25,distance,2,paltry,five,feet,adj-quant,num-num,noun-distance,Someone traveled a paltry five feet., good,0.9879434437902469
26,distance,2,paltry,five,yards,adj-quant,num-num,noun-distance,Someone traveled a paltry five yards., good,0.9932963408492891
27,distance,2,paltry,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a paltry five blocks., good,0.994350332338302
28,distance,2,paltry,five,steps,adj-quant,num-num,noun-distance,Someone traveled a paltry five steps., good,0.9937810475341313
29,distance,2,paltry,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a paltry twenty meters., good,0.9926241823421315
30,distance,2,paltry,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a paltry twenty feet., good,0.9943061646752418
31,distance,2,paltry,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a paltry twenty yards., good,0.9958829577518392
32,distance,2,paltry,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a paltry twenty blocks., good,0.9940895607761423
33,distance,2,paltry,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a paltry twenty steps., good,0.996483118366032
34,distance,2,meager,three,meters,adj-quant,num-num,noun-distance,Someone traveled a meager three meters., good,0.9808082895606572
35,distance,2,meager,three,feet,adj-quant,num-num,noun-distance,Someone traveled a meager three feet., good,0.9779157430101556
36,distance,2,meager,three,yards,adj-quant,num-num,noun-distance,Someone traveled a meager three yards., good,0.9880367876143239
37,distance,2,meager,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a meager three blocks., good,0.9916991409799722
38,distance,2,meager,three,steps,adj-quant,num-num,noun-distance,Someone traveled a meager three steps., good,0.9889337197965338
39,distance,2,meager,five,meters,adj-quant,num-num,noun-distance,Someone traveled a meager five meters., good,0.9851219971547512
40,distance,2,meager,five,feet,adj-quant,num-num,noun-distance,Someone traveled a meager five feet., good,0.9770925506491073
41,distance,2,meager,five,yards,adj-quant,num-num,noun-distance,Someone traveled a meager five yards., good,0.9877230265857275
42,distance,2,meager,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a meager five blocks., good,0.9917171970106046
43,distance,2,meager,five,steps,adj-quant,num-num,noun-distance,Someone traveled a meager five steps., good,0.9903597638878489
44,distance,2,meager,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a meager twenty meters., good,0.9902381700293436
45,distance,2,meager,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a meager twenty feet., good,0.9892897980476766
46,distance,2,meager,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a meager twenty yards., good,0.9934327762924278
47,distance,2,meager,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a meager twenty blocks., good,0.9930756267181188
48,distance,2,meager,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a meager twenty steps., good,0.9937573836034406
49,distance,2,extra,three,meters,adj-quant,num-num,noun-distance,Someone traveled an extra three meters., good,0.8001903997053034
50,distance,2,extra,three,feet,adj-quant,num-num,noun-distance,Someone traveled an extra three feet., good,0.7206007499058549
51,distance,2,extra,three,yards,adj-quant,num-num,noun-distance,Someone traveled an extra three yards., good,0.8910158256471363
