HITId,WorkerId,batch,variable,value,English,country,answer
adjH19,adjS46,1,Input.id_1,filler_0_18,TRUE,TRUE,2
adjH149,adjS61,1,Input.id_1,filler_0_18,FALSE,FALSE,2
adjH174,adjS9,1,Input.id_1,hefty-five-chairs-sent-objects-0,TRUE,TRUE,4
adjH1,adjS176,1,Input.id_1,filler_0_16,TRUE,TRUE,2
adjH167,adjS175,1,Input.id_1,extra-three-students-sent-human-1,TRUE,TRUE,10
adjH62,adjS80,1,Input.id_1,filler_1_5,TRUE,TRUE,10
adjH175,adjS74,1,Input.id_1,filler_0_17,TRUE,TRUE,1
adjH59,adjS182,1,Input.id_1,mediocre-three-students-sent-human-2,TRUE,TRUE,2
adjH72,adjS60,1,Input.id_1,filler_1_13,TRUE,TRUE,10
adjH99,adjS83,1,Input.id_1,pathetic-five-shows-sent-art-1,TRUE,TRUE,8
adjH195,adjS183,1,Input.id_1,filler_0_3,TRUE,TRUE,3
adjH150,adjS168,1,Input.id_1,filler_0_16,TRUE,TRUE,5
adjH42,adjS51,1,Input.id_1,filler_0_15,TRUE,TRUE,10
adjH20,adjS109,1,Input.id_1,soothing-three-Americans-sent-human-0,TRUE,TRUE,3
adjH14,adjS181,1,Input.id_1,enchanting-three-steps-sent-distance-2,TRUE,TRUE,7
adjH144,adjS123,1,Input.id_1,staggering-three-shows-sent-art-2,TRUE,TRUE,9
adjH151,adjS48,1,Input.id_1,hefty-five-operas-sent-art-1,FALSE,FALSE,5
adjH164,adjS100,1,Input.id_1,filler_0_7,TRUE,TRUE,2
adjH81,adjS143,1,Input.id_1,soothing-five-acts-sent-unitlike-1,TRUE,TRUE,7
adjH126,adjS98,1,Input.id_1,enchanting-three-months-sent-temporal-1,TRUE,TRUE,9
adjH190,adjS87,1,Input.id_1,filler_0_3,TRUE,TRUE,3
adjH171,adjS21,1,Input.id_1,mediocre-five-yards-sent-distance-1,TRUE,TRUE,8
adjH29,adjS25,1,Input.id_1,filler_1_11,TRUE,TRUE,10
adjH34,adjS172,1,Input.id_1,substantial-three-movies-sent-art-2,TRUE,TRUE,2
adjH63,adjS200,1,Input.id_1,mediocre-five-movies-sent-art-1,TRUE,TRUE,3
adjH37,adjS62,1,Input.id_1,extra-five-operas-sent-art-2,TRUE,TRUE,9
adjH89,adjS163,1,Input.id_1,meager-twenty-hours-sent-temporal-1,TRUE,TRUE,8
adjH26,adjS73,1,Input.id_1,filler_1_11,TRUE,TRUE,10
adjH87,adjS6,1,Input.id_1,record-setting-five-years-sent-temporal-0,TRUE,TRUE,10
adjH50,adjS32,1,Input.id_1,filler_0_3,TRUE,TRUE,5
adjH165,adjS85,1,Input.id_1,filler_0_6,TRUE,TRUE,1
adjH41,adjS188,1,Input.id_1,filler_0_16,TRUE,TRUE,3
adjH141,adjS160,1,Input.id_1,filler_1_1,TRUE,TRUE,7
adjH119,adjS57,1,Input.id_1,filler_0_15,TRUE,TRUE,2
adjH189,adjS186,1,Input.id_1,filler_0_18,TRUE,TRUE,3
adjH136,adjS156,1,Input.id_1,filler_1_10,TRUE,TRUE,10
adjH78,adjS178,1,Input.id_1,unsatisfying-five-meters-sent-distance-1,TRUE,TRUE,8
adjH183,adjS139,1,Input.id_1,ugly-twenty-paragraphs-sent-unitlike-2,TRUE,TRUE,9
adjH65,adjS104,1,Input.id_1,remarkable-three-athletes-sent-human-2,TRUE,TRUE,6
adjH146,adjS162,1,Input.id_1,lovely-three-months-sent-temporal-2,TRUE,TRUE,10
adjH157,adjS151,1,Input.id_1,paltry-twenty-steps-sent-distance-2,TRUE,TRUE,10
adjH3,adjS111,1,Input.id_1,meager-five-paragraphs-sent-unitlike-1,TRUE,TRUE,8
adjH9,adjS77,1,Input.id_1,filler_0_6,TRUE,TRUE,1
