list,id_1,id_10,id_11,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,value_1,value_10,value_11,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
1,filler_0_2,astonishing-three-months-sent-The touris,impressive-three-weeks-sent_no_plural-The diplom,filler_0_7,paltry-three-months-sent_no_mod-The family,filler_0_6,filler_0_3,filler_1_5,filler_1_1,filler_1_4,filler_1_8,Chardon sees often Kuru.,The tourist passed an astonishing three months in Papua New Guinea.,The diplomat worked for an impressive three week in Nairobi.,I wonder you ate how much.,The family spent a three months in London.,The bone dog the chewed.,Bob walk.,The bone chewed the dog.,Flosa has often seen Marn.,Malevolent floral candy is delicious.,The fragrant orangutan sings loudest at Easter.
2,disappointing-three-days-sent_no_a-The touris,filler_0_3,filler_0_2,incredible-three-weeks-sent_reverse_mods-The family,filler_0_6,filler_1_8,filler_1_1,filler_1_5,filler_1_4,hefty-three-weeks-sent_no_a-The diplom,filler_0_7,The tourist passed disappointing three days in Papua New Guinea.,Bob walk.,Chardon sees often Kuru.,The family spent a three incredible weeks in London.,The bone dog the chewed.,The fragrant orangutan sings loudest at Easter.,Flosa has often seen Marn.,The bone chewed the dog.,Malevolent floral candy is delicious.,The diplomat worked for hefty three weeks in Nairobi.,I wonder you ate how much.
3,paltry-three-weeks-sent_no_plural-The touris,meager-three-days-sent_no_a-The diplom,filler_0_7,filler_0_3,filler_1_4,filler_1_8,filler_0_2,filler_0_6,filler_1_1,hefty-three-months-sent_no_a-The family,filler_1_5,The tourist passed a paltry three week in Papua New Guinea.,The diplomat worked for meager three days in Nairobi.,I wonder you ate how much.,Bob walk.,Malevolent floral candy is delicious.,The fragrant orangutan sings loudest at Easter.,Chardon sees often Kuru.,The bone dog the chewed.,Flosa has often seen Marn.,The family spent hefty three months in London.,The bone chewed the dog.
4,meager-three-weeks-sent_default-The diplom,filler_1_5,filler_1_1,filler_0_2,filler_0_6,staggering-three-weeks-sent_no_mod-The family,staggering-three-months-sent_no_plural-The touris,filler_0_7,filler_1_8,filler_0_3,filler_1_4,The diplomat worked for three meager weeks in Nairobi.,The bone chewed the dog.,Flosa has often seen Marn.,Chardon sees often Kuru.,The bone dog the chewed.,The family spent a three weeks in London.,The tourist passed a staggering three month in Papua New Guinea.,I wonder you ate how much.,The fragrant orangutan sings loudest at Easter.,Bob walk.,Malevolent floral candy is delicious.
5,filler_0_2,filler_0_3,mere-three-months-sent_reverse_mods-The family,filler_1_1,filler_1_4,filler_1_8,filler_0_7,filler_0_6,filler_1_5,mere-three-weeks-sent_no_plural-The diplom,disappointing-three-weeks-sent_no_a-The touris,Chardon sees often Kuru.,Bob walk.,The family spent a three mere months in London.,Flosa has often seen Marn.,Malevolent floral candy is delicious.,The fragrant orangutan sings loudest at Easter.,I wonder you ate how much.,The bone dog the chewed.,The bone chewed the dog.,The diplomat worked for a mere three week in Nairobi.,The tourist passed disappointing three weeks in Papua New Guinea.
6,disappointing-three-months-sent_no_mod-The family,filler_1_5,filler_0_2,filler_1_8,astonishing-three-months-sent_no_mod-The touris,filler_0_6,filler_1_1,filler_0_3,filler_0_7,filler_1_4,paltry-three-weeks-sent_no_mod-The diplom,The family spent a three months in London.,The bone chewed the dog.,Chardon sees often Kuru.,The fragrant orangutan sings loudest at Easter.,The tourist passed a three months in Papua New Guinea.,The bone dog the chewed.,Flosa has often seen Marn.,Bob walk.,I wonder you ate how much.,Malevolent floral candy is delicious.,The diplomat worked for a three weeks in Nairobi.
7,filler_1_5,meager-three-months-sent_no_plural-The diplom,filler_0_2,filler_1_4,paltry-three-weeks-sent_no_a-The family,filler_0_7,filler_1_1,whopping-three-months-sent_reverse_mods-The touris,filler_1_8,filler_0_6,filler_0_3,The bone chewed the dog.,The diplomat worked for a meager three month in Nairobi.,Chardon sees often Kuru.,Malevolent floral candy is delicious.,The family spent paltry three weeks in London.,I wonder you ate how much.,Flosa has often seen Marn.,The tourist passed a three whopping months in Papua New Guinea.,The fragrant orangutan sings loudest at Easter.,The bone dog the chewed.,Bob walk.
8,paltry-three-days-sent_default-The touris,filler_0_3,filler_1_1,filler_0_2,filler_0_6,filler_1_4,filler_1_8,staggering-three-months-sent_no_plural-The diplom,mere-three-weeks-sent_no_a-The family,filler_0_7,filler_1_5,The tourist passed three paltry days in Papua New Guinea.,Bob walk.,Flosa has often seen Marn.,Chardon sees often Kuru.,The bone dog the chewed.,Malevolent floral candy is delicious.,The fragrant orangutan sings loudest at Easter.,The diplomat worked for a staggering three month in Nairobi.,The family spent mere three weeks in London.,I wonder you ate how much.,The bone chewed the dog.
9,filler_1_8,filler_0_2,filler_0_7,filler_1_4,filler_1_5,filler_0_3,astonishing-three-days-sent_reverse_mods-The diplom,filler_1_1,filler_0_6,staggering-three-months-sent_no_mod-The family,astonishing-three-weeks-sent_no_plural-The touris,The fragrant orangutan sings loudest at Easter.,Chardon sees often Kuru.,I wonder you ate how much.,Malevolent floral candy is delicious.,The bone chewed the dog.,Bob walk.,The diplomat worked for a three astonishing days in Nairobi.,Flosa has often seen Marn.,The bone dog the chewed.,The family spent a three months in London.,The tourist passed an astonishing three week in Papua New Guinea.
10,lovely-three-months-sent_no_mod-The diplom,filler_0_3,filler_1_4,filler_1_1,incredible-three-months-sent-The touris,filler_1_8,filler_0_2,filler_0_6,filler_0_7,mere-three-months-sent_default-The family,filler_1_5,The diplomat worked for a three months in Nairobi.,Bob walk.,Malevolent floral candy is delicious.,Flosa has often seen Marn.,The tourist passed an incredible three months in Papua New Guinea.,The fragrant orangutan sings loudest at Easter.,Chardon sees often Kuru.,The bone dog the chewed.,I wonder you ate how much.,The family spent three mere months in London.,The bone chewed the dog.
